"pathogen","region_code","region_name","herd_prev_min","herd_prev_mode","herd_prev_max","pathogen_region_notes","pathogen_region_ref"
"TB","ESP.1_1","Andalucía",0.027,0.0399,0.0905,"",""
"TB","ESP.2_1","Aragón",0.0022,0.0025,0.0043,"",""
"TB","ESP.17_1","Principado de Asturias",5e-04,8e-04,0.0015,"",""
"TB","ESP.13_1","Islas Baleares",0,0,0.0031,"",""
"TB","ESP.14_1","Islas Canarias",0,0,0,"",""
"TB","ESP.3_1","Cantabria",0.004,0.0045,0.0065,"",""
"TB","ESP.4_1","Castilla-La Mancha",0.0398,0.0465,0.1493,"",""
"TB","ESP.5_1","Castilla y León",0.002,0.0108,0.015,"",""
"TB","ESP.6_1","Cataluña",4e-04,6e-04,0.001,"",""
"TB","ESP.11_1","Extremadura",0.0324,0.0469,0.0652,"",""
"TB","ESP.12_1","Galicia",2e-04,3e-04,5e-04,"",""
"TB","ESP.15_1","La Rioja",0.0141,0.0309,0.0582,"",""
"TB","ESP.8_1","Comunidad de Madrid",0.012,0.0148,0.017,"",""
"TB","ESP.18_1","Región de Murcia",0,0.003,0.0258,"",""
"TB","ESP.9_1","Comunidad Foral de Navarra",0.0019,0.0039,0.0051,"",""
"TB","ESP.16_1","País Vasco",0,5e-04,0.0011,"",""
"TB","ESP.10_1","Comunidad Valenciana",0.0069,0.0179,0.0379,"",""
"TB","IRL","Ireland",0.040119075,0.047847905,0.050455393,"",""
"TB","ITA","Italy",2.12e-05,0.000198983,0.007668358,"",""
"TB","PRT","Portugal",0,0,0.00416042,"",""
"TB","ESP","Spain",0.016287557,0.019007938,0.022907878,"",""
"TB","GBR","United Kingdom of Great Britain and Northern Ireland (the)",2e-04,0.0004688,0.000940955,"",""
"TB","AUT","Austria",5.04e-05,8.64e-05,8.87e-05,"",""
"TB","BEL","Belgium",0,4.15e-05,0.000232423,"",""
"TB","BGR","Bulgaria",0.000111218,0.000129691,0.000148164,"",""
"TB","HRV","Croatia",0,0.000165228,0.00037775,"",""
"TB","CYP","Cyprus",0,0,0,"",""
"TB","CZE","Czechia",0,0,0,"",""
"TB","DNK","Denmark",0,0,0,"",""
"TB","EST","Estonia",0,0,0,"",""
"TB","FIN","Finland",0,0,0,"",""
"TB","FRA","France",0.000554608,0.00065125,0.000662583,"",""
"TB","DEU","Germany",0,2.11e-05,6.84e-05,"",""
"TB","GRC","Greece",0.003883711,0.005165806,0.007151436,"",""
"TB","HUN","Hungary",0.000116557,0.000234659,0.000260739,"",""
"TB","ITA","Italy",0,0.000110108,0.007668358,"",""
"TB","LVA","Latvia",0,0,0,"",""
"TB","LTU","Lithuania",0,0,0,"",""
"TB","LUX","Luxembourg",0,0,0,"",""
"TB","MLT","Malta",0,0,0,"",""
"TB","NLD","Netherlands (the)",0,0,0,"",""
"TB","POL","Poland",0,2.04e-05,6.65e-05,"",""
"TB","PRT","Portugal",0,0,0.00416042,"",""
"TB","ROU","Romania",4.47e-05,6.37e-05,7.43e-05,"",""
"TB","SVK","Slovakia",0,0,0,"",""
"TB","SVN","Slovenia",0,0,3.29e-05,"",""
"TB","SWE","Sweden",0,0,0,"",""
"IBR","ESP.12_1","Galicia",0.06,0.085,0.11,"",""
"IBR","ESP.6_1","Cataluña",0.04,0.05,0.06,"Media 2022, 2023, 2024 Duarte",""
"IBR","ESP.1_1","Andalucía",0.27,0.42,0.57,"",""
"IBR","ESP.17_1","Principado de Asturias",0.27,0.42,0.57,"",""
"IBR","ESP","Spain",0.5,0.6,0.7,"",""
"IBR","NLD","Netherlands (the)",0.15,0.153,0.156,"",""
"IBR","FRA","France",0.098,0.104,0.11,"",""
"BVD","ESP.12_1","Galicia",0.03,0.095,0.16,"",""
"BVD","ESP.6_1","Cataluña",0.25,0.27,0.28,"Por las vibes de Alberto (habrá referencias)",""
"BVD","ESP.1_1","Andalucía",0.54,0.555,0.57,"",""
"BVD","ESP.17_1","Principado de Asturias",0.54,0.555,0.57,"",""
"BVD","ESP","Spain",0.26,0.485,0.71,"",""
"BVD","NLD","Netherlands (the)",0.16,0.17,0.18,"",""
"BVD","FRA","France",0.21,0.215,0.22,"",""
"IBR","DEU","Germany",0.15,0.153,0.156,"",""
"BVD","DEU","Germany",0.21,0.215,0.22,"",""
"TB","DEU","Germany",0,0,0,"",""
"IBR","AND","Andorra",0.02,0.06,0.15,"Govern Andorra",""
"BVD","AND","Andorra",0.21,0.215,0.22,"Copiado de FRA",""
"TB","AND","Andorra",4e-04,6e-04,0.0018,"Copiado de Catalunya",""
"IBR","AUT","Austria",0,0,0.001,"Free according UE legislation","https://www.mapa.gob.es/es/ganaderia/temas/sanidad-animal-higiene-ganadera/sanidad-animal/enfermedades/ibr/IBR.aspx#prettyPhoto"
"BVD","AUT","Austria",0,0,0.001,"Free according UE legislation","https://www.mapa.gob.es/es/ganaderia/temas/sanidad-animal-higiene-ganadera/sanidad-animal/enfermedades/diarrea-viral-bovina/diarrea_viral_bovina.aspx"
"TB","CWL","Cowland",0.04,0.05,0.06,"Hypothetical",""
"IBR","CWL","Cowland",0.04,0.05,0.06,"Hypothetical",""
"BVD","CWL","Cowland",0.04,0.05,0.06,"Hypothetical",""
