region_code;wildlife;level_1;level_2;level_3;level_4;level_5;density_level;density_index;wildlife_region_notes;wildlife_region_ref
ESP.1.1_1;wildboar;0.025356577;0.664025357;0.237717908;0.072900158;0;level_2;2.358161647;;
ESP.1.2_1;wildboar;0.463592233;0.536407767;0;0;0;level_2;1.536407767;;
ESP.1.3_1;wildboar;0.248447205;0.708074534;0.043478261;0;0;level_2;1.795031056;;
ESP.1.4_1;wildboar;0.222672065;0.777327935;0;0;0;level_2;1.777327935;;
ESP.1.5_1;wildboar;0.333333333;0.666666667;0;0;0;level_2;1.666666667;;
ESP.1.6_1;wildboar;0.076142132;0.913705584;0.010152284;0;0;level_2;1.934010152;;
ESP.1.7_1;wildboar;0.015075377;0.964824121;0.020100503;0;0;level_2;2.005025128;;
ESP.1.8_1;wildboar;0.081850534;0.900355872;0.017793594;0;0;level_2;1.93594306;;
ESP.10.1_1;wildboar;0.177631579;0.822368421;0;0;0;level_2;1.822368421;;
ESP.10.2_1;wildboar;0.708520179;0.291479821;0;0;0;level_1;1.291479821;;
ESP.10.3_1;wildboar;0.679190751;0.320809249;0;0;0;level_1;1.320809249;;
ESP.11.1_1;wildboar;0.259668508;0.70718232;0.033149171;0;0;level_2;1.773480661;;
ESP.11.2_1;wildboar;0.139344262;0.762295082;0.098360656;0;0;level_2;1.959016394;;
ESP.12.1_1;wildboar;0.229357798;0.752293578;0.018348624;0;0;level_2;1.788990826;;
ESP.12.2_1;wildboar;0.395348837;0.604651163;0;0;0;level_2;1.604651163;;
ESP.12.3_1;wildboar;0.242236025;0.751552795;0.00621118;0;0;level_2;1.763975155;;
ESP.12.4_1;wildboar;0.429378531;0.570621469;0;0;0;level_2;1.570621469;;
ESP.13.1_1;wildboar;0.165467626;0.690647482;0.143884892;0;0;level_2;1.978417266;;
ESP.14.1_1;wildboar;0.248;0.736;0.016;0;0;level_2;1.768;;
ESP.14.2_1;wildboar;0.220858896;0.748466258;0.030674847;0;0;level_2;1.809815953;;
ESP.15.1_1;wildboar;0.576271186;0.423728814;0;0;0;level_1;1.423728814;;
ESP.16.1_1;wildboar;0.250859107;0.683848797;0.065292096;0;0;level_2;1.814432989;;
ESP.16.2_1;wildboar;0.288732394;0.690140845;0.021126761;0;0;level_2;1.732394367;;
ESP.16.3_1;wildboar;0.375912409;0.616788321;0.00729927;0;0;level_2;1.631386861;;
ESP.17.1_1;wildboar;0.138075314;0.631799163;0.230125523;0;0;level_2;2.092050209;;
ESP.18.1_1;wildboar;0.565420561;0.429906542;0.004672897;0;0;level_1;1.439252336;;
ESP.2.1_1;wildboar;0.045045045;0.81981982;0.135135135;0;0;level_2;2.09009009;;
ESP.2.2_1;wildboar;0.597285068;0.402714932;0;0;0;level_1;1.402714932;;
ESP.2.3_1;wildboar;0.623955432;0.376044568;0;0;0;level_1;1.376044568;;
ESP.3.1_1;wildboar;0.388535032;0.611464968;0;0;0;level_2;1.611464968;;
ESP.4.1_1;wildboar;0.132075472;0.79245283;0.075471698;0;0;level_2;1.943396226;;
ESP.4.2_1;wildboar;0.25;0.75;0;0;0;level_2;1.75;;
ESP.4.3_1;wildboar;0.04494382;0.786516854;0.157303371;0.011235955;0;level_2;2.134831461;;
ESP.4.4_1;wildboar;0.084507042;0.887323944;0.028169014;0;0;level_2;1.943661972;;
ESP.4.5_1;wildboar;0.413043478;0.586956522;0;0;0;level_2;1.586956522;;
ESP.5.1_1;wildboar;0.136363636;0.863636364;0;0;0;level_2;1.863636364;;
ESP.5.2_1;wildboar;0.736;0.264;0;0;0;level_1;1.264;;
ESP.5.3_1;wildboar;0.821138211;0.178861789;0;0;0;level_1;1.178861789;;
ESP.5.4_1;wildboar;0.028169014;0.887323944;0.084507042;0;0;level_2;2.056338028;;
ESP.5.5_1;wildboar;0.887459807;0.112540193;0;0;0;level_1;1.112540193;;
ESP.5.6_1;wildboar;0.784776903;0.215223097;0;0;0;level_1;1.215223097;;
ESP.5.7_1;wildboar;0.863529412;0.136470588;0;0;0;level_1;1.136470588;;
ESP.5.8_1;wildboar;0.925659472;0.074340528;0;0;0;level_1;1.074340528;;
ESP.5.9_1;wildboar;0.530332681;0.40704501;0.062622309;0;0;level_1;1.532289628;;
ESP.6.1_1;wildboar;0.53014553;0.461538462;0.008316008;0;0;level_1;1.478170478;;
ESP.6.2_1;wildboar;0.916666667;0.083333333;0;0;0;level_1;1.083333333;;
ESP.6.3_1;wildboar;0.746287129;0.252475248;0.001237624;0;0;level_1;1.254950497;;
ESP.6.4_1;wildboar;0.043209877;0.956790123;0;0;0;level_2;1.956790123;;
ESP.7.1_1;wildboar;0.052356021;0.910994764;0.036649215;0;0;level_2;1.984293194;;
ESP.7.2_1;wildboar;0.171641791;0.798507463;0.029850746;0;0;level_2;1.858208955;;
ESP.8.1_1;wildboar;0.076923077;0.917159763;0.00591716;0;0;level_2;1.928994083;;
ESP.9.1_1;wildboar;0.163522013;0.716981132;0.113207547;0.006289308;0;level_2;1.96226415;;
AND;wildboar;0.53014553;0.461538462;0.008316008;0;0;level_1;1.478170478;Copied from  Lleida (ESP.6.1_1);
AUS;wildboar;0.7;0.3;0;0;0;level_1;1.3;Rough estimate;
CWL;wildboar;0.7;0.3;0;0;0;level_1;1.3;Hypothetical;
